School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
7TH GRADE ACADEMY,Illinois,IL ,1.70804E+11,Cahokia CUSD 187,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,253,10.9,23.21,6th Grade,8th Grade,Middle
7TH H S - NORTHEAST,Texas,TX ,4.83808E+11,ROUND ROCK ISD,1-Regular school,2-No,†,†,12-City: Mid-size,†,†,†,–,–,Not Reported
80-H-SW-4,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
800 W BROADWAY,MINNESOTA,MN ,2.72124E+11,Minneapolis Public School District,4-Alternative/other school,2-No,2-No,1-Yes,11-City: Large,19,3.8,5,9th Grade,12th Grade,High
800 W BROADWAY EXTENDED,MINNESOTA,MN ,2.72124E+11,Minneapolis Public School District,4-Alternative/other school,2-No,2-No,1-Yes,11-City: Large,21,0.00,†,9th Grade,12th Grade,High
83-E-SE-3,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
85-E-W-4,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
89-E-W-4,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
8TH GRADE ACADEMY,Illinois,IL ,1.70804E+11,Cahokia CUSD 187,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,226,12.6,17.94,7th Grade,8th Grade,Middle
90-K8-N-7,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
916 MAHTOMEDI ACADEMY,Minnesota,MN ,2.70226E+11,NORTHEAST METRO 916,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,82,4.84,16.94,9th Grade,12th Grade,High
