name,subDistrict,district,province,level
โรงเรียนสายน้ำผึ้ง ในพระอุปถัมภ์ฯ,คลองเตย,เขตคลองเตย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสารวิทยา,เสนานิคม,เขตจตุจักร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสิริรัตนาธร,บางนาเหนือ,เขตบางนา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสีกัน (วัฒนานันท์อุปถัมภ์),สีกัน,เขตดอนเมือง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสุขุมนวพันธ์อุปถัมภ์,คลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสุรศักดิ์มนตรี,ดินแดง,เขตดินแดง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนหอวัง,จตุจักร,เขตจตุจักร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนโฆษิตสโมสร,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนดาราคาม,พระโขนง,เขตคลองเตย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (วัดโบสถ์) ในพระราชูปถัมภ์ฯ,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนทุ่งมหาเมฆ,ทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนไทยรัฐวิทยา ๗๕ เฉลิมพระเกียรติฯ,คลองถนน,เขตสายไหม,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบางบัว (เพ่งตั้งตรงจิตรวิทยาคาร),ลาดยาว,เขตจตุจักร,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองบอน (นัยนานนท์อนุสรณ์),หนองบอน,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนประถมทวีธาภิเศก,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนประถมนนทรี,ช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนพญาไท,ทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนพระตำหนักสวนกุหลาบ,พระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนพระยาประเสริฐสุนทราศรัย (กระจ่าง สิงหเสนี),พลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนพิบูลอุปถัมภ์,สามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษา
โรงเรียนมหาวีรานุวัตร,ตลาดน้อย,เขตสัมพันธวงศ์,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนราชวินิต,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,ประถมศึกษา-มัธยมศึกษา
โรงเรียนราชวินิตประถมบางแค,บางแคเหนือ,เขตบางแค,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดเจ้ามูล,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดชนะสงคราม,ชนะสงคราม,เขตพระนคร,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดช่างเหล็ก,คลองชักพระ,เขตตลิ่งชัน,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดชัยชนะสงคราม (วัดตึก),สัมพันธวงศ์,เขตสัมพันธวงศ์,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดด่าน (หวอด ทรัพย์ คงเที่ยงอนุสรณ์),บางโพงพาง,เขตยานนาวา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดนาคปรก,ปากคลองภาษีเจริญ,เขตภาษีเจริญ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดประยุรวงศาวาส,วัดกัลยาณ์,เขตธนบุรี,กรุงเทพมหานคร,ประถมศึกษา
โรงเรียนวัดพลับพลาชัย,ป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดมหาบุศย์ (พิทักษ์ถาวรคุณ),อ่อนนุช,เขตสวนหลวง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดเวตวันธรรมาวาส,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดสังข์กระจาย (แจ่มวิชาสอน),วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดโสมนัส,วัดโสมนัส,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดหงส์รัตนาราม,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดหนัง,บางค้อ,เขตจอมทอง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดอมรินทราราม,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนวัดอุทัยธาราม,บางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนสายน้ำทิพย์,คลองเตย,เขตคลองเตย,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนอนุบาลพิบูลเวศม์,พระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนอนุบาลวัดนางนอง,บางค้อ,เขตจอมทอง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนอนุบาลวัดปรินายก,บ้านพานถม,เขตพระนคร,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนอนุบาลสามเสน (สำนักงานสลากกินแบ่งรัฐบาลอุปถัมภ์),พญาไท,เขตพญาไท,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนกลางคลองสอง (พร ดีเจริญ),สามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนกันตทาราราม (สืบ-ลูกจันทร์ จึงประไพ),ตลาดพลู,เขตธนบุรี,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนการเคหะท่าทราย,ทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนกิ่งเพชร,ถนนเพชรบุรี,เขตราชเทวี,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนแก่นทองอุปถัมภ์,หนองบอน,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษา
โรงเรียนแก้วขำทับอุปถัมภ์,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนขุมทอง (เพชรทองคำอุปถัมภ์),ขุมทอง,เขตลาดกระบัง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนไขศรีปราโมชอนุสรณ์,คลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคงโครัดอุทิศ,คลองบางพราน,เขตบางบอน,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคชเผือกอนุสรณ์,ดอกไม้,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองกลันตัน (มีสุวรรณอนุสรณ์),พัฒนาการ,เขตสวนหลวง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองกะจะ (พงษ์สมบัติบำรุง),หัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองกุ่ม (เสรีไทยอนุสรณ์),คลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนคลองต้นไทร (สุขล้อมอุทิศ),ศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองทรงกระเทียม,ลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองทวีวัฒนา (ทองน่วมอนุสรณ์),ทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองบางพรหม,ศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองปักหลัก,ดอกไม้,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนคลองพิทยาลงกรณ์,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองมหาสวัสดิ์,ศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองมะขามเทศ,ดอกไม้,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองรางจาก,ทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองลำเจียก (หวังทองบำรุง),นวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองสอง,ลำต้อยติ่ง,เขตหนองจอก,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองสองต้นนุ่น,มีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองสาม,แสนแสบ,เขตมีนบุรี,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคลองหนองใหญ่ (ทองคำ ปานขำอนุสรณ์),บางแค,เขตบางแค,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนคันนายาว (ธารินเจริญสงเคราะห์),คันนายาว,เขตคันนายาว,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนคารีอุปถัมภ์,ลำผักชี,เขตหนองจอก,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนเคหะชุมชนลาดกระบัง,คลองสองต้นนุ่น,เขตลาดกระบัง,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนเคหะทุ่งสองห้องวิทยา 1,ทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนเคหะทุ่งสองห้องวิทยา 2,ทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนงามมานะ (แผน-ทับอุทิศ),ประเวศ,เขตประเวศ,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนจินดาบำรุง,รามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
โรงเรียนแจ่มจันทร์,คลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,อนุบาล-ประถมศึกษา
